date,game_mode,region,map,tier,hero,role,pick_rate,win_rate
2026-03-16,quickplay,Europe,oasis,All,일리아리,SUPPORT,8.3,53.5
2026-03-16,quickplay,Europe,oasis,All,자리야,TANK,4.9,49.4
2026-03-16,quickplay,Europe,oasis,All,정커퀸,TANK,5.1,54.2
2026-03-16,quickplay,Europe,oasis,All,정크랫,DAMAGE,10.0,51.5
2026-03-16,quickplay,Europe,oasis,All,제트팩 캣,SUPPORT,14.4,49.3
2026-03-16,quickplay,Europe,oasis,All,젠야타,SUPPORT,11.5,54.0
2026-03-16,quickplay,Europe,oasis,All,주노,SUPPORT,17.4,51.3
2026-03-16,quickplay,Europe,oasis,All,캐서디,DAMAGE,17.8,48.8
2026-03-16,quickplay,Europe,oasis,All,키리코,SUPPORT,24.0,47.6
2026-03-16,quickplay,Europe,oasis,All,토르비욘,DAMAGE,4.3,58.7
2026-03-16,quickplay,Europe,oasis,All,트레이서,DAMAGE,6.1,49.7
2026-03-16,quickplay,Europe,oasis,All,파라,DAMAGE,4.5,53.1
2026-03-16,quickplay,Europe,oasis,All,프레야,DAMAGE,5.9,45.8
2026-03-16,quickplay,Europe,oasis,All,한조,DAMAGE,9.1,49.4
2026-03-16,quickplay,Europe,oasis,All,해저드,TANK,3.9,52.0
2026-03-16,quickplay,Europe,ilios,All,D.Va,TANK,9.8,47.0
2026-03-16,quickplay,Europe,ilios,All,겐지,DAMAGE,9.8,50.2
2026-03-16,quickplay,Europe,ilios,All,도미나,TANK,8.8,50.8
2026-03-16,quickplay,Europe,ilios,All,둠피스트,TANK,8.0,47.5
2026-03-16,quickplay,Europe,ilios,All,라마트라,TANK,6.1,48.8
2026-03-16,quickplay,Europe,ilios,All,라이프위버,SUPPORT,10.6,45.3
2026-03-16,quickplay,Europe,ilios,All,라인하르트,TANK,9.5,52.5
2026-03-16,quickplay,Europe,ilios,All,레킹볼,TANK,3.1,48.0
2026-03-16,quickplay,Europe,ilios,All,로드호그,TANK,16.9,51.6
2026-03-16,quickplay,Europe,ilios,All,루시우,SUPPORT,17.8,56.0
2026-03-16,quickplay,Europe,ilios,All,리퍼,DAMAGE,11.0,54.5
2026-03-16,quickplay,Europe,ilios,All,마우가,TANK,5.8,51.0
2026-03-16,quickplay,Europe,ilios,All,메르시,SUPPORT,21.8,48.3
2026-03-16,quickplay,Europe,ilios,All,메이,DAMAGE,8.7,53.1
2026-03-16,quickplay,Europe,ilios,All,모이라,SUPPORT,20.6,49.7
2026-03-16,quickplay,Europe,ilios,All,미즈키,SUPPORT,18.4,53.2
2026-03-16,quickplay,Europe,ilios,All,바스티온,DAMAGE,11.9,48.5
2026-03-16,quickplay,Europe,ilios,All,바티스트,SUPPORT,4.7,44.5
2026-03-16,quickplay,Europe,ilios,All,벤데타,DAMAGE,13.0,53.0
2026-03-16,quickplay,Europe,ilios,All,벤처,DAMAGE,4.0,53.2
2026-03-16,quickplay,Europe,ilios,All,브리기테,SUPPORT,5.6,53.8
2026-03-16,quickplay,Europe,ilios,All,소전,DAMAGE,7.5,45.6
2026-03-16,quickplay,Europe,ilios,All,솔저: 76,DAMAGE,13.8,48.1
2026-03-16,quickplay,Europe,ilios,All,솜브라,DAMAGE,5.9,47.3
2026-03-16,quickplay,Europe,ilios,All,시그마,TANK,6.5,51.0
2026-03-16,quickplay,Europe,ilios,All,시메트라,DAMAGE,3.3,55.8
2026-03-16,quickplay,Europe,ilios,All,아나,SUPPORT,16.7,44.7
2026-03-16,quickplay,Europe,ilios,All,안란,DAMAGE,13.8,51.7
2026-03-16,quickplay,Europe,ilios,All,애쉬,DAMAGE,11.3,47.1
2026-03-16,quickplay,Europe,ilios,All,에코,DAMAGE,6.4,50.7
2026-03-16,quickplay,Europe,ilios,All,엠레,DAMAGE,13.4,48.6
2026-03-16,quickplay,Europe,ilios,All,오리사,TANK,10.3,48.0
2026-03-16,quickplay,Europe,ilios,All,우양,SUPPORT,8.5,49.2
2026-03-16,quickplay,Europe,ilios,All,위도우메이커,DAMAGE,7.6,43.2
