date,game_mode,region,map,tier,hero,role,pick_rate,win_rate,ban_rate
2026-06-30,quickplay,Asia,samoa,All,미즈키,SUPPORT,24.5,54.6,0.0
2026-06-30,quickplay,Asia,samoa,All,바스티온,DAMAGE,7.2,48.6,0.0
2026-06-30,quickplay,Asia,samoa,All,바티스트,SUPPORT,4.7,46.5,0.0
2026-06-30,quickplay,Asia,samoa,All,벤데타,DAMAGE,3.2,50.7,0.0
2026-06-30,quickplay,Asia,samoa,All,벤처,DAMAGE,1.7,52.5,0.0
2026-06-30,quickplay,Asia,samoa,All,브리기테,SUPPORT,4.6,50.8,0.0
2026-06-30,quickplay,Asia,samoa,All,소전,DAMAGE,10.0,44.7,0.0
2026-06-30,quickplay,Asia,samoa,All,솔저: 76,DAMAGE,9.9,48.7,0.0
2026-06-30,quickplay,Asia,samoa,All,솜브라,DAMAGE,3.8,47.3,0.0
2026-06-30,quickplay,Asia,samoa,All,시그마,TANK,8.8,51.9,0.0
2026-06-30,quickplay,Asia,samoa,All,시메트라,DAMAGE,2.7,57.1,0.0
2026-06-30,quickplay,Asia,samoa,All,시에라,DAMAGE,13.2,49.6,0.0
2026-06-30,quickplay,Asia,samoa,All,시온,DAMAGE,57.9,53.9,0.0
2026-06-30,quickplay,Asia,samoa,All,아나,SUPPORT,35.7,45.7,0.0
2026-06-30,quickplay,Asia,samoa,All,안란,DAMAGE,10.4,53.5,0.0
2026-06-30,quickplay,Asia,samoa,All,애쉬,DAMAGE,5.0,47.7,0.0
2026-06-30,quickplay,Asia,samoa,All,에코,DAMAGE,2.6,48.7,0.0
2026-06-30,quickplay,Asia,samoa,All,엠레,DAMAGE,5.0,48.0,0.0
2026-06-30,quickplay,Asia,samoa,All,오리사,TANK,11.4,47.0,0.0
2026-06-30,quickplay,Asia,samoa,All,우양,SUPPORT,12.1,52.0,0.0
2026-06-30,quickplay,Asia,samoa,All,위도우메이커,DAMAGE,1.4,40.9,0.0
2026-06-30,quickplay,Asia,samoa,All,윈스턴,TANK,4.7,49.9,0.0
