date,game_mode,region,map,tier,hero,role,pick_rate,win_rate,ban_rate
2026-05-17,quickplay,Americas,lijiang-tower,All,파라,DAMAGE,7.2,57.0,0.0
2026-05-17,quickplay,Americas,lijiang-tower,All,프레야,DAMAGE,4.9,46.3,0.0
2026-05-17,quickplay,Americas,lijiang-tower,All,한조,DAMAGE,6.8,49.5,0.0
2026-05-17,quickplay,Americas,lijiang-tower,All,해저드,TANK,4.2,51.6,0.0
2026-05-17,quickplay,Americas,busan,All,D.Va,TANK,9.7,48.0,0.0
2026-05-17,quickplay,Americas,busan,All,겐지,DAMAGE,12.0,48.8,0.0
2026-05-17,quickplay,Americas,busan,All,도미나,TANK,10.2,51.6,0.0
2026-05-17,quickplay,Americas,busan,All,둠피스트,TANK,6.7,48.0,0.0
2026-05-17,quickplay,Americas,busan,All,라마트라,TANK,10.8,52.9,0.0
2026-05-17,quickplay,Americas,busan,All,라이프위버,SUPPORT,14.8,51.3,0.0
2026-05-17,quickplay,Americas,busan,All,라인하르트,TANK,10.0,52.4,0.0
2026-05-17,quickplay,Americas,busan,All,레킹볼,TANK,3.2,48.0,0.0
2026-05-17,quickplay,Americas,busan,All,로드호그,TANK,7.2,46.4,0.0
2026-05-17,quickplay,Americas,busan,All,루시우,SUPPORT,6.6,50.4,0.0
2026-05-17,quickplay,Americas,busan,All,리퍼,DAMAGE,9.7,52.9,0.0
2026-05-17,quickplay,Americas,busan,All,마우가,TANK,7.1,52.1,0.0
2026-05-17,quickplay,Americas,busan,All,메르시,SUPPORT,27.4,50.0,0.0
2026-05-17,quickplay,Americas,busan,All,메이,DAMAGE,7.2,53.0,0.0
2026-05-17,quickplay,Americas,busan,All,모이라,SUPPORT,21.5,50.1,0.0
2026-05-17,quickplay,Americas,busan,All,미즈키,SUPPORT,13.5,51.6,0.0
2026-05-17,quickplay,Americas,busan,All,바스티온,DAMAGE,11.4,49.7,0.0
2026-05-17,quickplay,Americas,busan,All,바티스트,SUPPORT,5.2,45.9,0.0
2026-05-17,quickplay,Americas,busan,All,벤데타,DAMAGE,5.8,49.5,0.0
2026-05-17,quickplay,Americas,busan,All,벤처,DAMAGE,3.3,52.3,0.0
2026-05-17,quickplay,Americas,busan,All,브리기테,SUPPORT,7.5,54.6,0.0
2026-05-17,quickplay,Americas,busan,All,소전,DAMAGE,6.3,45.5,0.0
2026-05-17,quickplay,Americas,busan,All,솔저: 76,DAMAGE,13.2,50.6,0.0
2026-05-17,quickplay,Americas,busan,All,솜브라,DAMAGE,5.7,46.9,0.0
2026-05-17,quickplay,Americas,busan,All,시그마,TANK,6.3,47.8,0.0
2026-05-17,quickplay,Americas,busan,All,시메트라,DAMAGE,2.9,54.7,0.0
2026-05-17,quickplay,Americas,busan,All,시에라,DAMAGE,26.8,52.5,0.0
2026-05-17,quickplay,Americas,busan,All,아나,SUPPORT,24.9,45.6,0.0
2026-05-17,quickplay,Americas,busan,All,안란,DAMAGE,13.3,52.0,0.0
2026-05-17,quickplay,Americas,busan,All,애쉬,DAMAGE,10.5,48.6,0.0
2026-05-17,quickplay,Americas,busan,All,에코,DAMAGE,5.7,49.2,0.0
2026-05-17,quickplay,Americas,busan,All,엠레,DAMAGE,9.4,48.2,0.0
2026-05-17,quickplay,Americas,busan,All,오리사,TANK,9.5,47.9,0.0
2026-05-17,quickplay,Americas,busan,All,우양,SUPPORT,9.0,51.0,0.0
2026-05-17,quickplay,Americas,busan,All,위도우메이커,DAMAGE,6.6,46.0,0.0
2026-05-17,quickplay,Americas,busan,All,윈스턴,TANK,4.7,51.2,0.0
2026-05-17,quickplay,Americas,busan,All,일리아리,SUPPORT,6.0,50.3,0.0
2026-05-17,quickplay,Americas,busan,All,자리야,TANK,4.8,48.9,0.0
2026-05-17,quickplay,Americas,busan,All,정커퀸,TANK,5.7,52.4,0.0
2026-05-17,quickplay,Americas,busan,All,정크랫,DAMAGE,9.2,48.8,0.0
2026-05-17,quickplay,Americas,busan,All,제트팩 캣,SUPPORT,9.3,47.7,0.0
2026-05-17,quickplay,Americas,busan,All,젠야타,SUPPORT,10.5,54.1,0.0
2026-05-17,quickplay,Americas,busan,All,주노,SUPPORT,22.0,52.1,0.0
2026-05-17,quickplay,Americas,busan,All,캐서디,DAMAGE,14.6,49.3,0.0
2026-05-17,quickplay,Americas,busan,All,키리코,SUPPORT,21.7,47.9,0.0
2026-05-17,quickplay,Americas,busan,All,토르비욘,DAMAGE,4.2,55.1,0.0
2026-05-17,quickplay,Americas,busan,All,트레이서,DAMAGE,6.5,49.4,0.0
2026-05-17,quickplay,Americas,busan,All,파라,DAMAGE,3.6,49.8,0.0
2026-05-17,quickplay,Americas,busan,All,프레야,DAMAGE,5.2,46.7,0.0
2026-05-17,quickplay,Americas,busan,All,한조,DAMAGE,6.7,48.4,0.0
2026-05-17,quickplay,Americas,busan,All,해저드,TANK,4.1,49.8,0.0
2026-05-17,quickplay,Americas,samoa,All,D.Va,TANK,8.4,43.2,0.0
2026-05-17,quickplay,Americas,samoa,All,겐지,DAMAGE,12.0,50.2,0.0
2026-05-17,quickplay,Americas,samoa,All,도미나,TANK,10.7,52.3,0.0
2026-05-17,quickplay,Americas,samoa,All,둠피스트,TANK,6.7,49.2,0.0
2026-05-17,quickplay,Americas,samoa,All,라마트라,TANK,11.0,50.9,0.0
2026-05-17,quickplay,Americas,samoa,All,라이프위버,SUPPORT,13.8,49.4,0.0
2026-05-17,quickplay,Americas,samoa,All,라인하르트,TANK,9.9,53.4,0.0
2026-05-17,quickplay,Americas,samoa,All,레킹볼,TANK,2.4,46.4,0.0
2026-05-17,quickplay,Americas,samoa,All,로드호그,TANK,7.2,46.8,0.0
2026-05-17,quickplay,Americas,samoa,All,루시우,SUPPORT,6.4,50.7,0.0
2026-05-17,quickplay,Americas,samoa,All,리퍼,DAMAGE,10.4,53.4,0.0
2026-05-17,quickplay,Americas,samoa,All,마우가,TANK,9.4,52.3,0.0
2026-05-17,quickplay,Americas,samoa,All,메르시,SUPPORT,26.9,50.3,0.0
2026-05-17,quickplay,Americas,samoa,All,메이,DAMAGE,7.2,52.0,0.0
2026-05-17,quickplay,Americas,samoa,All,모이라,SUPPORT,21.1,50.5,0.0
2026-05-17,quickplay,Americas,samoa,All,미즈키,SUPPORT,14.4,53.1,0.0
2026-05-17,quickplay,Americas,samoa,All,바스티온,DAMAGE,12.0,48.6,0.0
2026-05-17,quickplay,Americas,samoa,All,바티스트,SUPPORT,5.6,46.1,0.0
2026-05-17,quickplay,Americas,samoa,All,벤데타,DAMAGE,5.9,49.6,0.0
2026-05-17,quickplay,Americas,samoa,All,벤처,DAMAGE,3.6,52.1,0.0
2026-05-17,quickplay,Americas,samoa,All,브리기테,SUPPORT,7.7,54.3,0.0
2026-05-17,quickplay,Americas,samoa,All,소전,DAMAGE,6.8,45.2,0.0
2026-05-17,quickplay,Americas,samoa,All,솔저: 76,DAMAGE,12.5,48.3,0.0
2026-05-17,quickplay,Americas,samoa,All,솜브라,DAMAGE,5.3,47.8,0.0
2026-05-17,quickplay,Americas,samoa,All,시그마,TANK,6.2,49.6,0.0
2026-05-17,quickplay,Americas,samoa,All,시메트라,DAMAGE,3.0,56.9,0.0
2026-05-17,quickplay,Americas,samoa,All,시에라,DAMAGE,25.9,52.4,0.0
2026-05-17,quickplay,Americas,samoa,All,아나,SUPPORT,25.8,45.9,0.0
2026-05-17,quickplay,Americas,samoa,All,안란,DAMAGE,14.2,54.2,0.0
2026-05-17,quickplay,Americas,samoa,All,애쉬,DAMAGE,9.2,47.7,0.0
2026-05-17,quickplay,Americas,samoa,All,에코,DAMAGE,5.9,47.9,0.0
